"method_key","mse","n_rep_used","truth","section","design","kappa","n","mse_3"
"MLE_corrected",0.151048159101213,2000,5.00000000000001,"norm","dense",0.1,4000,0.151
"MLE_Lasso",1.27169409235402,2000,5.00000000000001,"norm","dense",0.1,4000,1.272
"MLE_naive",248.862932881843,2000,5,"norm","dense",0.2,1000,248.863
"MLE_corrected",0.998831557376467,2000,5,"norm","dense",0.2,1000,0.999
"MLE_Lasso",3.73081323004703,2000,5,"norm","dense",0.2,1000,3.731
"MLE_naive",214.305459852698,2000,5.00000000000001,"norm","dense",0.2,2000,214.305
"MLE_corrected",0.509894740652039,2000,5.00000000000001,"norm","dense",0.2,2000,0.51
"MLE_Lasso",3.49708479694938,2000,5.00000000000001,"norm","dense",0.2,2000,3.497
"MLE_naive",199.516660048357,2000,5.00000000000001,"norm","dense",0.2,4000,199.517
"MLE_corrected",0.245859731159376,2000,5.00000000000001,"norm","dense",0.2,4000,0.246
"MLE_Lasso",3.32673189365071,2000,5.00000000000001,"norm","dense",0.2,4000,3.327
"MLE_naive",0.835002779478556,2000,5,"norm","sparse",0,1000,0.835
"MLE_corrected",0.466895017826942,2000,5,"norm","sparse",0,1000,0.467
"MLE_Lasso",1.23861188922569,2000,5,"norm","sparse",0,1000,1.239
"MLE_naive",0.289239179004647,2000,5,"norm","sparse",0,2000,0.289
"MLE_corrected",0.209431926334125,2000,5,"norm","sparse",0,2000,0.209
"MLE_Lasso",0.698204999157388,2000,5,"norm","sparse",0,2000,0.698
"MLE_naive",0.125644095917792,2000,5,"norm","sparse",0,4000,0.126
"MLE_corrected",0.105362767144929,2000,5,"norm","sparse",0,4000,0.105
"MLE_Lasso",0.376403039329563,2000,5,"norm","sparse",0,4000,0.376
"MLE_naive",12.8598116055313,2000,5,"norm","sparse",0.1,1000,12.86
"MLE_corrected",0.614356973619596,2000,5,"norm","sparse",0.1,1000,0.614
"MLE_Lasso",2.44053939622303,2000,5,"norm","sparse",0.1,1000,2.441
"MLE_naive",11.4573263838387,2000,5,"norm","sparse",0.1,2000,11.457
"MLE_corrected",0.285593494276734,2000,5,"norm","sparse",0.1,2000,0.286
"MLE_Lasso",1.85142697178544,2000,5,"norm","sparse",0.1,2000,1.851
"MLE_naive",10.6645832563625,2000,5,"norm","sparse",0.1,4000,10.665
"MLE_corrected",0.136654336155018,2000,5,"norm","sparse",0.1,4000,0.137
"MLE_Lasso",1.31933745831131,2000,5,"norm","sparse",0.1,4000,1.319
"MLE_naive",192.672747154472,2000,5,"norm","sparse",0.2,1000,192.673
"MLE_corrected",0.965237648941723,2000,5,"norm","sparse",0.2,1000,0.965
"MLE_Lasso",3.0032184627986,2000,5,"norm","sparse",0.2,1000,3.003
"MLE_naive",173.848601976543,2000,5,"norm","sparse",0.2,2000,173.849
"MLE_corrected",0.484792441982111,2000,5,"norm","sparse",0.2,2000,0.485
"MLE_Lasso",2.19871063528516,2000,5,"norm","sparse",0.2,2000,2.199
"MLE_naive",163.165206119316,2000,5,"norm","sparse",0.2,4000,163.165
"MLE_corrected",0.224799460240793,2000,5,"norm","sparse",0.2,4000,0.225
"MLE_Lasso",1.52598120863137,2000,5,"norm","sparse",0.2,4000,1.526
"MLE_naive",0.153798834170444,2000,2,"S","dense",0,1000,0.154
"MLE_corrected",0.112772992709585,2000,2,"S","dense",0,1000,0.113
"MLE_Lasso",0.114312247673164,2000,2,"S","dense",0,1000,0.114
"MLE_naive",0.0592553864818755,2000,2,"S","dense",0,2000,0.059
"MLE_corrected",0.04942470818756,2000,2,"S","dense",0,2000,0.049
"MLE_Lasso",0.0520702348553789,2000,2,"S","dense",0,2000,0.052
"MLE_naive",0.0278233396045727,2000,2,"S","dense",0,4000,0.028
"MLE_corrected",0.0257519012665234,2000,2,"S","dense",0,4000,0.026
"MLE_Lasso",0.0277518277924016,2000,2,"S","dense",0,4000,0.028
"MLE_naive",1.0245147256312,2000,2,"S","dense",0.1,1000,1.025
"MLE_corrected",0.1214633617783,2000,2,"S","dense",0.1,1000,0.121
"MLE_Lasso",0.294752883692425,2000,2,"S","dense",0.1,1000,0.295
"MLE_naive",0.854374381987959,2000,2,"S","dense",0.1,2000,0.854
"MLE_corrected",0.0575137565510346,2000,2,"S","dense",0.1,2000,0.058
"MLE_Lasso",0.220564130724557,2000,2,"S","dense",0.1,2000,0.221
"MLE_naive",0.740210806306837,2000,2,"S","dense",0.1,4000,0.74
"MLE_corrected",0.0299215449175697,2000,2,"S","dense",0.1,4000,0.03
"MLE_Lasso",0.19146282851181,2000,2,"S","dense",0.1,4000,0.191
"MLE_naive",13.4877289077523,2000,2,"S","dense",0.2,1000,13.488
"MLE_corrected",0.15342961486566,2000,2,"S","dense",0.2,1000,0.153
"MLE_Lasso",0.57729529773394,2000,2,"S","dense",0.2,1000,0.577
"MLE_naive",11.1171961011632,2000,2,"S","dense",0.2,2000,11.117
"MLE_corrected",0.0779675645477449,2000,2,"S","dense",0.2,2000,0.078
"MLE_Lasso",0.491043613339859,2000,2,"S","dense",0.2,2000,0.491
"MLE_naive",9.92575458849917,2000,2,"S","dense",0.2,4000,9.926
"MLE_corrected",0.0368302614018104,2000,2,"S","dense",0.2,4000,0.037
"MLE_Lasso",0.430271821682729,2000,2,"S","dense",0.2,4000,0.43
"MLE_naive",0.664891369730022,2000,5,"S","sparse",0,1000,0.665
"MLE_corrected",0.455958080913562,2000,5,"S","sparse",0,1000,0.456
"MLE_Lasso",1.27253857416709,2000,5,"S","sparse",0,1000,1.273
"MLE_naive",0.25178439742023,2000,5,"S","sparse",0,2000,0.252
"MLE_corrected",0.206942685843426,2000,5,"S","sparse",0,2000,0.207
"MLE_Lasso",0.713318343154793,2000,5,"S","sparse",0,2000,0.713
"MLE_naive",0.116133931902641,2000,5,"S","sparse",0,4000,0.116
"MLE_corrected",0.104336526340283,2000,5,"S","sparse",0,4000,0.104
"MLE_Lasso",0.382173233712275,2000,5,"S","sparse",0,4000,0.382
"MLE_naive",5.44584781104275,2000,5,"S","sparse",0.1,1000,5.446
"MLE_corrected",0.519492844045679,2000,5,"S","sparse",0.1,1000,0.519
"MLE_Lasso",2.51889135075456,2000,5,"S","sparse",0.1,1000,2.519
"MLE_naive",4.4619337602806,2000,5,"S","sparse",0.1,2000,4.462
"MLE_corrected",0.240384101099921,2000,5,"S","sparse",0.1,2000,0.24
"MLE_Lasso",1.89010758276295,2000,5,"S","sparse",0.1,2000,1.89
"MLE_naive",3.94139023721851,2000,5,"S","sparse",0.1,4000,3.941
"MLE_corrected",0.11662128496101,2000,5,"S","sparse",0.1,4000,0.117
"MLE_Lasso",1.33798009803006,2000,5,"S","sparse",0.1,4000,1.338
"MLE_naive",63.962179479547,2000,5,"S","sparse",0.2,1000,63.962
"MLE_corrected",0.642833942619039,2000,5,"S","sparse",0.2,1000,0.643
"MLE_Lasso",3.10175217499269,2000,5,"S","sparse",0.2,1000,3.102
"MLE_naive",56.1517149424708,2000,5,"S","sparse",0.2,2000,56.152
"MLE_corrected",0.328505353235977,2000,5,"S","sparse",0.2,2000,0.329
"MLE_Lasso",2.24455949667335,2000,5,"S","sparse",0.2,2000,2.245
"MLE_naive",51.408710352362,2000,5,"S","sparse",0.2,4000,51.409
"MLE_corrected",0.156775305789801,2000,5,"S","sparse",0.2,4000,0.157
"MLE_Lasso",1.54788513525566,2000,5,"S","sparse",0.2,4000,1.548
"MLE_naive",0.382717219729554,2000,3,"Sc","dense",0,1000,0.383
"MLE_corrected",0.20243035749532,2000,3,"Sc","dense",0,1000,0.202
"MLE_Lasso",0.203150576008849,2000,3,"Sc","dense",0,1000,0.203
"MLE_naive",0.139977326013033,2000,3,"Sc","dense",0,2000,0.14
"MLE_corrected",0.0958944182516795,2000,3,"Sc","dense",0,2000,0.096
"MLE_Lasso",0.0997351610848117,2000,3,"Sc","dense",0,2000,0.1
"MLE_naive",0.0542520983353139,2000,3,"Sc","dense",0,4000,0.054
"MLE_corrected",0.0446425065728916,2000,3,"Sc","dense",0,4000,0.045
"MLE_Lasso",0.0481956618387045,2000,3,"Sc","dense",0,4000,0.048
"MLE_naive",7.646852200607,2000,3,"Sc","dense",0.1,1000,7.647
"MLE_corrected",0.278883664133599,2000,3,"Sc","dense",0.1,1000,0.279
"MLE_Lasso",0.621146904682197,2000,3,"Sc","dense",0.1,1000,0.621
"MLE_naive",7.24650694343885,2000,3,"Sc","dense",0.1,2000,7.247
"MLE_corrected",0.133018046759497,2000,3,"Sc","dense",0.1,2000,0.133
"MLE_Lasso",0.50349737074709,2000,3,"Sc","dense",0.1,2000,0.503
"MLE_naive",7.0015058906604,2000,3,"Sc","dense",0.1,4000,7.002
"MLE_corrected",0.070304141015342,2000,3,"Sc","dense",0.1,4000,0.07
"MLE_Lasso",0.491297047244714,2000,3,"Sc","dense",0.1,4000,0.491
"MLE_naive",148.421173316276,2000,3,"Sc","dense",0.2,1000,148.421
"MLE_corrected",0.540907548178664,2000,3,"Sc","dense",0.2,1000,0.541
"MLE_Lasso",1.42288367060589,2000,3,"Sc","dense",0.2,1000,1.423
"MLE_naive",128.685267771491,2000,3,"Sc","dense",0.2,2000,128.685
"MLE_corrected",0.26810538148977,2000,3,"Sc","dense",0.2,2000,0.268
"MLE_Lasso",1.39289347147302,2000,3,"Sc","dense",0.2,2000,1.393
"MLE_naive",120.846788716699,2000,3,"Sc","dense",0.2,4000,120.847
"MLE_corrected",0.128767302942252,2000,3,"Sc","dense",0.2,4000,0.129
"MLE_Lasso",1.3770953674903,2000,3,"Sc","dense",0.2,4000,1.377
"MLE_naive",0.0284541567008184,2000,0,"Sc","sparse",0,1000,0.028
"MLE_corrected",0.00156532751684146,2000,0,"Sc","sparse",0,1000,0.002
"MLE_Lasso",0.00141727393552442,2000,0,"Sc","sparse",0,1000,0.001
"MLE_naive",0.00662553743420663,2000,0,"Sc","sparse",0,2000,0.007
"MLE_corrected",0.0004177583751963,2000,0,"Sc","sparse",0,2000,0
"MLE_Lasso",0.000457090996454507,2000,0,"Sc","sparse",0,2000,0
"MLE_naive",0.00155935086796234,2000,0,"Sc","sparse",0,4000,0.002
"MLE_corrected",0.000101574378044975,2000,0,"Sc","sparse",0,4000,0
"MLE_Lasso",0.000112512842673318,2000,0,"Sc","sparse",0,4000,0
"MLE_naive",1.74668719446924,2000,0,"Sc","sparse",0.1,1000,1.747
"MLE_corrected",0.0153125650437249,2000,0,"Sc","sparse",0.1,1000,0.015
"MLE_Lasso",0.00253224210909489,2000,0,"Sc","sparse",0.1,1000,0.003
"MLE_naive",1.71419095343466,2000,0,"Sc","sparse",0.1,2000,1.714
"MLE_corrected",0.00701913652767447,2000,0,"Sc","sparse",0.1,2000,0.007
"MLE_Lasso",0.000677420818671529,2000,0,"Sc","sparse",0.1,2000,0.001
"MLE_naive",1.6909819432494,2000,0,"Sc","sparse",0.1,4000,1.691
"MLE_corrected",0.00325881651974781,2000,0,"Sc","sparse",0.1,4000,0.003
"MLE_Lasso",0.000190974715017921,2000,0,"Sc","sparse",0.1,4000,0
"MLE_naive",35.5403381480167,2000,0,"Sc","sparse",0.2,1000,35.54
"MLE_corrected",0.0739609229794216,2000,0,"Sc","sparse",0.2,1000,0.074
"MLE_Lasso",0.00290739624942968,2000,0,"Sc","sparse",0.2,1000,0.003
"MLE_naive",32.8581549509544,2000,0,"Sc","sparse",0.2,2000,32.858
"MLE_corrected",0.0313844116433871,2000,0,"Sc","sparse",0.2,2000,0.031
"MLE_Lasso",0.000779001664234284,2000,0,"Sc","sparse",0.2,2000,0.001
"MLE_naive",31.6355310441195,2000,0,"Sc","sparse",0.2,4000,31.636
"MLE_corrected",0.0140013437509288,2000,0,"Sc","sparse",0.2,4000,0.014
"MLE_Lasso",0.000218223754282396,2000,0,"Sc","sparse",0.2,4000,0
